sub	file	q	arm	psnr	ssim2	butter_n3
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p01.png	50	compact_chain	24.459	46.067	3.1508
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p01.png	75	lanczos	22.500	46.576	4.1150
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p01.png	75	span_direct	24.378	50.302	3.7681
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p01.png	75	compact_direct	24.586	51.541	3.0255
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p01.png	75	span_chain	24.557	51.371	3.7778
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p01.png	75	compact_chain	24.724	52.240	2.9327
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p02.png	35	lanczos	35.554	30.329	3.0923
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p02.png	35	span_direct	34.811	37.065	3.0834
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p02.png	35	compact_direct	35.307	34.331	2.8334
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p02.png	35	span_chain	34.979	36.579	3.0859
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p02.png	35	compact_chain	35.414	32.542	2.7706
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p02.png	50	lanczos	36.444	41.993	2.7896
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p02.png	50	span_direct	35.488	46.462	3.0825
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p02.png	50	compact_direct	35.985	42.431	2.4815
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p02.png	50	span_chain	35.542	44.771	3.1218
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p02.png	50	compact_chain	35.900	39.488	2.4831
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p02.png	75	lanczos	38.067	59.859	1.9047
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p02.png	75	span_direct	36.295	58.847	2.2778
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p02.png	75	compact_direct	36.928	53.812	2.0763
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p02.png	75	span_chain	36.198	56.082	2.3576
maps	nps_nps-bibe-2023-Wild-and-Scenic-Rivers-Brochure_p02.png	75	compact_chain	36.577	49.182	2.1716
maps	nps_nps-biho-FINAL-VERSION_BIHO-unigrid_Side-1_X3_compressed-for-web-6_p01.png	35	lanczos	25.701	33.773	3.8575
maps	nps_nps-biho-FINAL-VERSION_BIHO-unigrid_Side-1_X3_compressed-for-web-6_p01.png	35	span_direct	26.894	37.408	4.9504
maps	nps_nps-biho-FINAL-VERSION_BIHO-unigrid_Side-1_X3_compressed-for-web-6_p01.png	35	compact_direct	27.327	35.805	3.2917
maps	nps_nps-biho-FINAL-VERSION_BIHO-unigrid_Side-1_X3_compressed-for-web-6_p01.png	35	span_chain	27.242	38.849	5.2108
maps	nps_nps-biho-FINAL-VERSION_BIHO-unigrid_Side-1_X3_compressed-for-web-6_p01.png	35	compact_chain	27.723	36.267	3.1067
maps	nps_nps-biho-FINAL-VERSION_BIHO-unigrid_Side-1_X3_compressed-for-web-6_p01.png	50	lanczos	25.940	43.402	3.6417
maps	nps_nps-biho-FINAL-VERSION_BIHO-unigrid_Side-1_X3_compressed-for-web-6_p01.png	50	span_direct	27.179	45.239	6.0524
maps	nps_nps-biho-FINAL-VERSION_BIHO-unigrid_Side-1_X3_compressed-for-web-6_p01.png	50	compact_direct	27.663	43.713	2.9941
maps	nps_nps-biho-FINAL-VERSION_BIHO-unigrid_Side-1_X3_compressed-for-web-6_p01.png	50	span_chain	27.447	45.523	6.1537
maps	nps_nps-biho-FINAL-VERSION_BIHO-unigrid_Side-1_X3_compressed-for-web-6_p01.png	50	compact_chain	27.966	42.872	2.8670
maps	nps_nps-biho-FINAL-VERSION_BIHO-unigrid_Side-1_X3_compressed-for-web-6_p01.png	75	lanczos	26.232	54.583	3.4214
maps	nps_nps-biho-FINAL-VERSION_BIHO-unigrid_Side-1_X3_compressed-for-web-6_p01.png	75	span_direct	27.677	55.062	6.0580
maps	nps_nps-biho-FINAL-VERSION_BIHO-unigrid_Side-1_X3_compressed-for-web-6_p01.png	75	compact_direct	28.191	54.375	2.6831
maps	nps_nps-biho-FINAL-VERSION_BIHO-unigrid_Side-1_X3_compressed-for-web-6_p01.png	75	span_chain	27.802	54.304	6.1351
maps	nps_nps-biho-FINAL-VERSION_BIHO-unigrid_Side-1_X3_compressed-for-web-6_p01.png	75	compact_chain	28.360	52.945	2.6309
renders	a-chosen-soul-MOIGsaj8te0-unsplash.jpg	35	lanczos	33.990	39.591	2.7238
renders	a-chosen-soul-MOIGsaj8te0-unsplash.jpg	35	span_direct	33.649	45.509	2.5228
renders	a-chosen-soul-MOIGsaj8te0-unsplash.jpg	35	compact_direct	34.617	48.522	2.1692
renders	a-chosen-soul-MOIGsaj8te0-unsplash.jpg	35	span_chain	33.745	46.488	2.4741
renders	a-chosen-soul-MOIGsaj8te0-unsplash.jpg	35	compact_chain	34.608	48.347	2.1633
renders	a-chosen-soul-MOIGsaj8te0-unsplash.jpg	50	lanczos	34.255	44.081	2.5601
renders	a-chosen-soul-MOIGsaj8te0-unsplash.jpg	50	span_direct	33.882	48.789	2.4228
renders	a-chosen-soul-MOIGsaj8te0-unsplash.jpg	50	compact_direct	34.792	51.366	2.0422
renders	a-chosen-soul-MOIGsaj8te0-unsplash.jpg	50	span_chain	33.950	48.217	2.4084
renders	a-chosen-soul-MOIGsaj8te0-unsplash.jpg	50	compact_chain	34.763	49.979	2.0510
renders	a-chosen-soul-MOIGsaj8te0-unsplash.jpg	75	lanczos	34.719	54.164	2.3217
renders	a-chosen-soul-MOIGsaj8te0-unsplash.jpg	75	span_direct	34.079	53.084	2.3166
renders	a-chosen-soul-MOIGsaj8te0-unsplash.jpg	75	compact_direct	35.070	55.667	1.8843
renders	a-chosen-soul-MOIGsaj8te0-unsplash.jpg	75	span_chain	34.122	52.733	2.3194
renders	a-chosen-soul-MOIGsaj8te0-unsplash.jpg	75	compact_chain	35.085	55.265	1.8981
renders	anton-sobotyak-g7aYFxxNTVA-unsplash.jpg	35	lanczos	39.051	51.081	2.8274
renders	anton-sobotyak-g7aYFxxNTVA-unsplash.jpg	35	span_direct	36.812	65.514	4.1631
renders	anton-sobotyak-g7aYFxxNTVA-unsplash.jpg	35	compact_direct	40.139	67.597	2.0709
